land,jahr,hpi,arbeitslosenrate,inflation,leitzinsen,bev_wachstum,einkommen,migration,corona_dummy
Belgium,2015,100.0,8.7,100.0,0.05,40310,44132.0,146626.0,0
Belgium,2016,102.33,7.9,101.77,0.0,40590,45076.0,123702.0,0
Belgium,2017,105.95,7.2,104.03,0.0,41030,45364.0,126703.0,0
Belgium,2018,109.15,6.0,106.44,0.0,41610,46422.0,137860.0,0
Belgium,2019,113.23,5.5,107.77,0.0,42400,47550.0,150006.0,0
Belgium,2020,118.09,5.8,108.23,0.0,40190,46543.0,118683.0,1
Belgium,2021,125.96,6.3,111.71,0.0,42510,49696.0,139743.0,1
Belgium,2022,132.93,5.6,123.26,2.5,43960,53418.0,208356.0,0
Belgium,2023,136.05,5.5,126.07,4.5,44120,57989.0,169609.0,0
Belgium,2024,140.43,5.7,131.52,3.15,44300,,,0
Germany,2015,100.0,4.4,100.0,0.05,41040,39970.0,1549937.0,0
Germany,2016,107.5,3.9,100.4,0.0,41640,40902.0,1046171.0,0
Germany,2017,114.1,3.6,102.1,0.0,42610,42050.0,866541.0,0
Germany,2018,121.7,3.2,104.0,0.0,42960,43340.0,825736.0,0
Germany,2019,128.7,3.0,105.5,0.0,43290,44827.0,804821.0,0
Germany,2020,138.7,3.7,105.8,0.0,41480,44377.0,642399.0,1
Germany,2021,154.7,3.7,109.2,0.0,42990,45727.0,775946.0,1
Germany,2022,162.5,3.2,118.7,2.5,43260,47731.0,1943445.0,0
Germany,2023,148.7,3.1,125.9,4.5,42780,50998.0,1271219.0,0
Germany,2024,146.4,3.4,129.0,3.15,42580,,,0
Estonia,2015,100.0,6.4,100.0,0.05,18650,13639.0,15413.0,0
Estonia,2016,104.75,6.8,100.8,0.0,19190,14540.0,14822.0,0
Estonia,2017,110.51,5.8,104.48,0.0,20270,15543.0,17616.0,0
Estonia,2018,117.07,5.4,108.05,0.0,20970,17086.0,17547.0,0
Estonia,2019,125.27,4.5,110.5,0.0,21650,18437.0,18259.0,0
Estonia,2020,132.79,6.9,109.8,0.0,20960,19238.0,16209.0,1
Estonia,2021,152.78,6.2,114.72,0.0,22440,21120.0,19524.0,1
Estonia,2022,186.76,5.6,137.03,2.5,22430,22944.0,49414.0,0
Estonia,2023,197.72,6.4,149.52,4.5,21210,24899.0,26399.0,0
Estonia,2024,209.79,7.6,155.1,3.15,21020,,,0
Ireland,2015,100.0,9.9,100.0,0.05,60210,44667.0,80792.0,0
Ireland,2016,107.46,8.4,99.8,0.0,60220,45629.0,93378.0,0
Ireland,2017,119.14,6.7,100.1,0.0,65370,46719.0,84743.0,0
Ireland,2018,131.33,5.8,100.8,0.0,69390,48211.0,105699.0,0
Ireland,2019,134.41,5.0,101.7,0.0,71720,50194.0,96321.0,0
Ireland,2020,134.82,5.9,101.2,0.0,75820,51100.0,81918.0,1
Ireland,2021,145.98,6.2,103.6,0.0,87160,52638.0,83770.0,1
Ireland,2022,163.96,4.5,112.0,2.5,91760,54312.0,157537.0,0
Ireland,2023,168.99,4.3,117.8,4.5,87810,58679.0,135617.0,0
Ireland,2024,183.36,4.3,119.4,3.15,88600,,,0
Spain,2015,100.0,22.1,100.0,0.05,24720,27175.0,342114.0,0
Spain,2016,104.62,19.6,99.66,0.0,25420,27062.0,414746.0,0
Spain,2017,111.1,17.2,101.69,0.0,26110,27146.0,532132.0,0
Spain,2018,118.58,15.3,103.46,0.0,26620,27426.0,643684.0,0
Spain,2019,124.71,14.1,104.26,0.0,26930,28176.0,750480.0,0
Spain,2020,127.5,15.5,103.91,0.0,23850,27844.0,467918.0,1
Spain,2021,132.19,14.9,107.04,0.0,25440,29383.0,887960.0,1
Spain,2022,141.98,13.0,115.95,2.5,26770,30867.0,1258894.0,0
Spain,2023,147.69,12.2,119.89,4.5,27150,32587.0,1250991.0,0
Spain,2024,160.25,11.4,123.33,3.15,27740,,,0
France,2015,100.0,10.3,100.0,0.05,35370,35837.0,364221.0,0
France,2016,101.04,10.1,100.31,0.0,35540,36220.0,377709.0,0
France,2017,104.24,9.4,101.47,0.0,36140,37079.0,369621.0,0
France,2018,107.29,9.0,103.6,0.0,36570,37583.0,387160.0,0
France,2019,110.86,8.4,104.95,0.0,37160,38305.0,385596.0,0
France,2020,116.62,8.0,105.5,0.0,34280,36800.0,331137.0,1
France,2021,123.98,7.9,107.68,0.0,36470,38862.0,336401.0,1
France,2022,131.82,7.3,114.04,2.5,37320,40823.0,431078.0,0
France,2023,131.26,7.3,120.5,4.5,37760,42662.0,417613.0,0
France,2024,126.4,7.4,123.29,3.15,38110,,,0
Croatia,2015,100.0,16.2,100.0,0.05,11600,13897.0,11706.0,0
Croatia,2016,100.89,13.0,99.37,0.0,12100,14215.0,13985.0,0
Croatia,2017,104.75,11.1,100.67,0.0,12630,14411.0,15553.0,0
Croatia,2018,111.14,8.3,102.23,0.0,13120,15115.0,26029.0,0
Croatia,2019,121.1,6.6,103.04,0.0,13870,15640.0,37726.0,0
Croatia,2020,130.38,7.4,103.06,0.0,12840,15661.0,33414.0,1
Croatia,2021,139.91,7.5,105.82,0.0,14560,16501.0,35912.0,1
Croatia,2022,160.69,6.8,117.11,2.5,15640,18546.0,57972.0,0
Croatia,2023,179.88,6.1,126.94,4.5,16060,21523.0,69396.0,0
Croatia,2024,198.54,5.0,132.04,3.15,16710,,,0
Italy,2015,100.0,12.0,100.0,0.05,29210,29083.0,280078.0,0
Italy,2016,100.3,11.7,99.9,0.0,29630,29299.0,300823.0,0
Italy,2017,99.2,11.3,101.3,0.0,30160,29426.0,343440.0,0
Italy,2018,98.6,10.6,102.5,0.0,30470,29786.0,332324.0,0
Italy,2019,98.5,9.9,103.2,0.0,30680,30194.0,332778.0,0
Italy,2020,100.4,9.3,103.0,0.0,28100,28815.0,247526.0,1
Italy,2021,103.0,9.5,105.0,0.0,30760,30719.0,318366.0,1
